Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Atlético Goianiense;0;990;0;0;5;3;4;0;507;11;11;13;7;0;321;407;789;16;346;5;17;7;0
Botafogo (RJ);0;990;1;1;10;2;4;0;424;24;12;16;15;6;192;286;671;14;174;10;14;8;1
Palmeiras;0;990;0;0;16;7;3;0;561;20;16;12;28;3;382;457;836;32;338;18;15;12;1
Coritiba;0;985;0;0;20;3;2;1;530;22;8;5;40;0;312;411;759;46;244;15;18;13;0
Botafogo (RJ);0;990;0;0;10;3;0;0;664;14;18;10;17;0;420;531;791;30;376;18;30;12;0
Atlético Goianiense;0;990;0;0;5;1;7;1;578;18;11;8;4;2;384;469;819;36;392;7;23;7;0
Atlético Mineiro;0;990;0;0;21;5;1;0;761;13;6;11;38;0;564;651;866;56;503;27;16;8;0
São Paulo;0;990;0;0;12;2;4;0;628;14;6;9;22;0;435;523;832;41;297;14;10;3;0
Fortaleza;0;990;0;0;7;2;4;0;513;19;13;6;12;2;284;385;738;26;251;17;26;14;1
Avaí;0;990;0;0;10;3;0;0;568;15;6;12;19;2;361;465;776;35;263;14;19;7;0
Juventude;0;990;0;0;9;3;1;0;585;13;12;13;17;0;362;475;762;46;402;14;14;6;0
América (MG);0;990;0;0;10;4;2;0;469;17;17;10;16;1;218;314;694;29;177;15;19;7;1
Bragantino;0;990;0;0;21;6;1;0;639;12;6;12;40;1;419;513;817;51;401;25;8;4;0
Flamengo;0;990;0;0;20;7;2;0;584;12;19;10;28;3;371;469;791;34;345;21;27;14;1
Goiás;0;990;0;0;8;2;3;0;505;19;10;10;16;0;298;389;766;26;246;11;19;11;0
Cuiabá;0;990;0;0;9;1;1;0;453;31;8;9;16;0;248;339;732;31;158;12;12;4;0
Internacional;0;990;0;0;8;2;5;0;685;19;9;16;16;0;495;579;855;44;473;22;28;7;0
Athletico Paranaense;0;990;0;0;10;5;2;0;441;15;11;14;16;6;252;326;773;30;263;15;18;6;1
Santos;0;990;0;0;17;5;3;0;621;11;7;13;29;4;422;510;827;41;320;14;23;12;1
Palmeiras;0;990;0;0;9;3;2;0;513;9;11;10;16;0;305;406;751;29;257;12;8;4;1
Juventude;0;989;0;0;5;3;5;1;570;12;4;9;10;0;385;480;802;43;299;10;8;4;0
Atlético Mineiro;0;990;0;0;19;7;0;0;679;19;7;11;33;2;474;582;814;44;455;29;20;11;1
Athletico Paranaense;0;990;0;0;5;3;2;0;393;10;11;10;8;0;215;293;734;19;170;4;16;9;0
Bragantino;0;990;0;0;11;4;0;0;512;4;9;10;20;0;321;408;787;30;278;12;10;7;0
Fortaleza;0;990;0;0;12;6;4;0;444;32;13;16;16;2;180;305;59;33;208;10;29;7;1
Santos;0;990;0;0;11;2;0;0;700;21;12;14;22;0;447;579;772;30;440;19;24;14;0
Fluminense;0;990;0;0;8;0;1;0;772;14;9;9;15;0;590;665;887;42;472;25;26;12;0
Goiás;0;990;0;0;5;3;0;0;390;6;13;9;9;2;168;268;627;11;151;9;16;9;1
Coritiba;0;990;0;0;7;3;2;0;491;17;6;13;11;2;301;375;803;25;216;12;15;8;0
Corinthians;0;990;0;0;7;1;2;0;648;17;6;7;8;0;433;561;772;33;405;17;12;3;0
São Paulo;0;990;0;0;18;6;1;0;812;14;5;6;34;0;612;717;854;53;628;19;17;8;0
Internacional;0;990;1;1;13;4;1;0;670;16;22;9;26;1;417;522;799;59;301;27;23;14;1
Atlético Goianiense;0;958;0;0;10;2;2;1;627;13;6;8;13;2;438;529;828;56;367;24;16;7;0
Avaí;0;990;0;0;12;2;3;0;638;22;12;12;23;0;421;506;832;39;354;19;24;9;0
Fortaleza;0;990;0;0;5;1;2;0;433;29;22;10;10;2;180;288;625;24;170;3;26;10;1
Flamengo;0;990;0;0;6;1;2;0;662;21;13;9;8;2;427;545;783;33;415;11;21;7;1
Juventude;0;990;0;0;7;1;3;0;583;15;12;14;10;0;378;474;797;27;330;15;15;7;0
Bragantino;0;990;0;0;15;5;1;0;664;19;21;13;25;0;416;531;783;32;418;9;16;4;0
Fluminense;0;990;0;0;12;3;0;0;870;18;7;7;22;0;671;758;885;62;521;32;31;14;0
Coritiba;0;990;0;0;11;2;4;0;559;23;4;14;21;0;345;456;757;60;296;20;12;4;0
Botafogo (RJ);0;990;0;0;17;9;2;0;456;22;12;12;26;4;221;331;668;22;180;8;25;16;1
Atlético Mineiro;0;990;0;0;12;7;2;0;626;23;9;12;21;4;424;524;809;44;345;20;16;10;1
Goiás;0;990;0;0;9;4;2;0;419;11;10;9;14;3;192;295;651;11;218;10;20;11;1
Santos;0;990;0;0;10;4;3;0;576;13;6;6;18;0;399;493;809;42;364;15;26;17;0
Cuiabá;0;990;0;0;1;0;3;0;451;9;8;17;2;0;260;370;703;23;244;12;10;6;0
Fortaleza;0;990;0;0;11;3;2;0;402;24;10;12;18;2;193;289;668;24;163;14;15;11;0
Juventude;0;990;0;0;6;1;3;0;415;26;12;6;9;2;191;288;663;16;180;8;14;3;0
Atlético Goianiense;0;990;0;0;15;4;3;0;613;10;5;13;22;0;410;498;823;39;379;19;18;6;0
Atlético Mineiro;0;990;0;0;13;2;3;0;629;17;12;10;19;0;392;513;764;65;303;22;22;8;0
Coritiba;0;990;0;0;18;2;4;0;511;17;13;12;29;0;300;403;744;42;306;19;16;12;0
Fluminense;0;984;1;1;11;3;6;3;608;15;4;7;23;4;399;470;849;22;330;14;26;12;1
São Paulo;0;990;0;0;21;7;2;0;656;19;1;12;36;4;460;556;827;46;380;18;7;5;1
Corinthians;0;990;0;0;11;3;3;0;612;21;11;13;20;0;398;502;793;33;415;18;19;11;0
Santos;0;990;0;0;17;3;4;0;541;18;7;18;30;0;318;416;764;32;242;23;25;15;0
Internacional;0;990;0;0;13;4;2;0;500;18;14;8;23;4;303;384;789;31;323;18;17;9;1
Avaí;0;990;0;0;7;2;4;0;507;11;6;10;11;0;328;410;80;32;334;10;12;7;0
Athletico Paranaense;0;990;0;0;14;3;3;0;544;25;12;8;27;0;329;424;776;38;306;12;13;5;0
Atlético Goianiense;0;990;0;0;11;5;3;0;498;12;11;9;20;2;289;370;781;38;269;16;7;6;0
Juventude;0;990;0;0;10;3;1;0;521;11;14;9;16;0;351;436;805;22;303;17;5;3;0
Flamengo;0;990;1;1;6;2;5;0;792;15;8;9;13;3;609;699;871;51;618;20;21;14;0
Ceará;0;990;0;0;11;3;4;0;701;10;12;7;17;0;523;617;848;72;400;11;15;9;0
América (MG);0;990;0;1;17;7;4;0;587;10;6;5;27;1;375;481;78;61;355;13;20;11;0
Botafogo (RJ);0;990;0;0;17;6;4;0;577;19;4;10;30;2;345;456;757;45;305;11;16;6;1
Palmeiras;0;990;0;0;10;3;3;0;396;29;13;6;17;1;171;280;611;22;191;11;27;13;1
Santos;0;990;0;0;11;2;4;0;629;13;14;7;18;0;453;535;847;51;402;14;19;11;0
Fluminense;0;962;0;0;5;2;4;1;771;22;8;5;9;0;592;669;885;46;528;23;26;11;0
América (MG);0;990;0;0;10;4;5;0;427;14;11;12;18;3;190;305;623;28;216;12;12;5;1
Fortaleza;0;990;0;0;15;4;2;0;522;19;10;9;24;2;288;403;715;31;251;19;14;5;1
Juventude;0;990;0;0;6;1;5;0;439;6;12;5;8;0;283;356;795;15;207;4;14;3;0
Atlético Goianiense;0;990;0;0;9;3;4;0;497;15;14;14;16;3;262;342;766;26;262;10;23;5;1
Bragantino;0;903;1;1;4;2;0;1;455;13;11;16;9;2;281;341;824;25;199;9;17;9;0
Cuiabá;0;990;0;0;9;4;0;0;574;13;7;16;13;0;364;467;779;42;305;16;13;7;0
Palmeiras;0;968;1;1;11;4;3;1;559;17;8;16;22;5;359;466;77;34;355;15;14;8;1
Coritiba;0;990;0;0;13;4;6;0;488;10;11;8;22;2;312;395;79;28;318;17;6;3;0
Flamengo;0;990;0;0;11;6;2;0;668;27;10;13;21;0;432;544;794;56;423;14;17;9;0
Internacional;0;990;0;0;12;4;3;0;538;18;5;12;23;2;317;416;762;33;310;20;16;13;1
Corinthians;0;990;0;0;7;1;2;0;577;16;14;7;14;0;391;471;83;40;368;12;17;6;0
América (MG);0;990;0;0;19;2;0;0;667;7;9;13;34;0;448;549;816;56;450;33;27;17;0
Cuiabá;0;990;1;1;9;3;4;0;458;20;8;8;17;1;260;349;745;19;236;8;8;2;1
Goiás;0;990;1;1;17;4;5;0;538;21;7;10;32;4;333;422;789;24;304;16;15;7;0
Ceará;0;990;0;0;19;7;4;0;599;7;9;8;33;2;414;484;855;44;324;19;10;6;1
Cuiabá;0;990;1;1;12;3;3;0;629;14;14;6;24;2;410;523;784;47;446;14;20;8;0
Fluminense;0;990;1;1;12;4;0;0;630;14;7;15;25;4;443;522;849;40;306;19;23;12;0
Atlético Mineiro;0;990;1;1;11;2;4;0;582;15;5;11;20;3;392;499;786;31;335;11;8;4;1
Coritiba;0;990;0;0;11;3;2;0;545;16;9;4;15;0;354;434;816;19;258;16;17;7;0
São Paulo;0;990;0;0;18;4;4;0;748;12;9;11;32;4;519;624;832;56;514;18;13;8;1
Botafogo (RJ);0;990;0;0;14;6;4;0;497;16;6;17;26;3;303;384;789;27;244;16;18;8;1
Flamengo;0;990;1;1;16;4;2;0;543;18;4;10;29;3;369;437;844;32;351;29;23;11;1
Athletico Paranaense;0;990;0;0;19;4;0;0;546;15;7;8;33;2;327;443;738;40;277;16;11;6;0
Goiás;0;990;1;1;15;7;7;0;427;11;8;11;24;2;247;325;76;23;202;11;20;11;0
Avaí;0;990;0;0;10;2;1;0;747;13;6;8;17;0;567;668;849;32;512;15;13;4;0
Botafogo (RJ);0;990;1;1;6;0;2;0;422;11;4;18;13;2;190;284;669;14;212;9;17;10;1
América (MG);0;990;0;0;18;8;3;0;465;12;14;16;30;3;253;350;723;35;206;20;7;3;1
Bragantino;0;990;0;0;17;4;3;0;680;18;10;13;31;2;451;558;808;71;463;30;21;4;0
Juventude;0;990;0;0;16;3;0;0;584;19;11;8;31;2;387;473;818;34;321;6;14;3;0
Fortaleza;0;973;0;0;9;4;4;1;408;16;12;14;18;4;159;263;605;25;183;13;12;4;1
Atlético Mineiro;0;990;0;0;13;3;0;0;725;21;8;8;21;0;504;620;813;54;453;17;13;3;0
Internacional;0;990;0;0;11;1;4;0;631;23;11;7;18;1;395;516;766;46;388;28;19;9;1
Fluminense;0;990;0;0;17;7;0;0;728;17;4;4;29;6;511;613;834;52;315;20;26;8;1
Coritiba;0;990;0;0;15;3;2;0;503;19;6;12;28;0;295;386;764;33;251;14;10;5;0
Santos;0;990;0;0;9;3;4;0;503;26;7;13;16;4;278;370;751;21;214;13;21;9;1
Athletico Paranaense;0;990;0;0;9;4;3;0;577;20;11;14;13;2;357;461;774;30;390;19;20;7;0
Corinthians;0;942;0;0;8;2;5;1;595;18;8;10;15;2;398;490;812;17;391;14;10;4;1
Flamengo;0;990;0;0;15;6;1;0;581;18;9;5;24;4;334;457;731;25;287;20;16;6;1
Avaí;0;990;0;0;10;2;2;0;542;6;7;6;17;0;358;435;823;29;325;10;15;9;0
São Paulo;0;990;0;0;13;6;2;0;719;12;5;5;22;4;560;636;881;65;508;16;18;6;1
Goiás;0;990;0;0;5;3;4;0;389;17;15;19;9;4;156;252;619;13;141;5;10;4;1
Ceará;0;990;0;0;12;2;2;0;667;14;10;11;21;0;448;551;813;41;430;19;16;6;0
Santos;0;990;0;0;8;4;4;0;581;22;7;14;13;3;378;471;803;27;317;6;16;4;0
Palmeiras;0;990;0;0;17;5;5;0;739;14;7;7;28;5;537;628;855;52;431;18;15;6;1
Bragantino;0;990;0;0;5;1;4;0;586;11;7;10;9;2;383;493;777;31;299;9;15;7;0
Ceará;0;990;1;1;12;2;2;0;462;12;12;15;23;2;272;357;762;25;237;12;12;4;0
Fluminense;0;990;0;0;15;6;3;0;643;17;8;9;26;3;440;519;848;19;353;24;28;13;1
Atlético Goianiense;0;990;0;0;19;8;4;0;548;11;9;15;30;0;362;438;826;37;338;23;12;6;0
Avaí;0;990;0;0;13;7;1;0;612;13;10;20;20;0;406;506;802;53;307;11;14;6;0
Coritiba;0;986;0;0;16;7;1;1;557;17;6;5;29;2;341;452;754;34;295;14;17;5;0
Juventude;0;990;0;0;9;4;1;0;486;7;12;13;17;0;321;392;819;21;235;11;23;11;0
Fluminense;0;990;0;0;17;5;2;0;829;11;8;14;30;1;666;736;905;51;557;28;13;8;1
Cuiabá;0;990;0;0;13;5;1;0;465;25;7;13;20;4;219;311;704;23;208;6;12;4;1
Internacional;0;990;0;1;12;2;0;0;559;12;8;12;21;0;336;457;735;43;292;17;6;3;0
Goiás;0;990;0;0;12;3;1;0;601;24;11;4;19;2;367;485;757;32;345;12;13;8;0
Coritiba;0;990;0;0;19;6;4;0;612;17;8;7;36;2;393;505;778;67;389;22;16;6;1
Bragantino;0;990;0;0;12;6;1;0;582;17;9;6;22;3;366;482;759;42;294;9;11;1;1
Santos;0;990;0;0;9;6;2;0;531;14;10;11;12;3;341;427;799;21;311;17;20;7;1
Fortaleza;0;990;0;0;8;3;1;0;562;17;17;8;10;0;359;459;782;28;277;13;8;3;0
Corinthians;0;990;0;0;7;6;1;0;656;20;12;13;13;4;463;553;837;29;387;11;12;6;1
São Paulo;0;989;0;0;8;4;2;1;498;39;8;15;11;0;285;362;787;23;309;8;13;4;0
América (MG);0;990;1;1;12;7;2;0;459;12;8;6;20;6;244;357;683;29;274;9;12;0;1
Juventude;0;990;0;0;14;2;4;0;402;6;9;5;24;0;241;327;737;28;269;17;11;2;0
Ceará;0;990;0;0;12;4;4;0;495;16;14;13;24;0;272;368;739;31;173;13;25;10;0
Athletico Paranaense;0;989;0;0;14;1;1;1;513;10;12;12;21;0;299;396;755;53;297;17;19;4;0
Flamengo;0;990;0;0;13;1;3;0;682;18;3;9;25;0;484;571;848;53;440;21;12;5;0
Botafogo (RJ);0;990;0;0;8;2;5;0;427;22;12;11;9;4;207;308;672;19;190;7;15;9;1
Internacional;0;990;0;0;8;3;4;0;499;24;5;11;16;2;320;397;806;32;225;17;13;5;1
Ceará;0;990;0;1;14;2;5;0;559;9;11;6;27;0;385;464;83;44;379;13;8;3;0
Goiás;0;946;0;0;9;1;3;2;355;21;7;12;17;0;154;222;694;8;159;16;12;7;0
Bragantino;0;990;0;0;4;1;4;0;464;11;2;15;8;0;296;370;80;20;259;12;13;4;0
América (MG);0;990;0;0;6;2;2;0;447;14;12;12;10;2;237;341;695;26;218;16;7;2;0
Santos;0;990;0;0;4;0;4;0;593;17;9;16;8;0;416;501;83;33;336;16;12;5;0
Cuiabá;0;990;0;0;6;1;4;0;437;6;9;7;11;0;275;362;76;27;233;8;11;0;0
Avaí;0;990;0;0;15;8;1;0;448;20;9;5;26;2;270;336;804;24;233;17;13;7;1
Coritiba;0;947;0;0;4;2;5;1;528;16;3;11;7;2;346;425;814;35;278;4;11;4;0
Atlético Mineiro;0;990;1;1;16;6;6;0;505;15;13;16;32;1;315;387;814;34;266;14;21;13;1
Juventude;0;990;0;0;9;4;4;0;419;15;10;9;15;1;245;321;763;17;228;6;17;4;0
Fortaleza;0;990;0;0;13;6;2;0;559;25;8;9;21;4;331;441;751;26;327;22;20;7;1
Fluminense;0;990;0;0;8;4;2;0;623;14;14;10;14;2;408;509;802;33;457;13;31;13;1
São Paulo;0;990;0;0;13;7;0;0;711;8;7;7;23;8;562;627;896;48;545;19;12;3;1
Palmeiras;0;990;0;0;11;2;3;0;445;11;10;14;22;0;278;350;794;31;274;18;17;5;0
Botafogo (RJ);0;990;0;0;9;4;1;0;564;18;5;9;18;0;373;454;822;25;318;15;15;5;0
Bragantino;0;989;0;0;18;6;5;1;524;20;6;12;35;2;301;401;751;30;296;23;20;14;1
Athletico Paranaense;0;990;0;0;13;5;0;0;579;10;9;9;22;0;350;462;758;38;303;13;22;9;0
Fortaleza;0;990;0;0;15;5;3;0;502;13;5;8;27;0;270;386;699;37;277;17;23;16;0
Fluminense;0;950;0;0;7;4;4;1;536;17;7;7;12;4;336;416;808;18;280;13;13;10;0
Santos;0;990;0;0;8;3;4;0;461;6;9;9;13;2;299;385;777;31;285;12;15;7;0
América (MG);0;986;1;1;11;8;5;1;423;20;13;11;17;3;164;291;564;29;167;14;14;8;1
Ceará;0;990;0;0;16;3;3;0;590;18;5;9;30;0;363;475;764;45;351;13;20;8;0
Botafogo (RJ);0;990;0;0;13;8;3;0;539;15;9;8;18;0;319;419;761;34;327;18;21;7;1
Goiás;0;925;0;0;6;3;4;1;315;11;6;14;9;0;115;199;578;5;106;6;12;6;1
Corinthians;0;990;0;0;4;1;2;0;548;18;17;9;8;2;347;444;782;36;381;14;17;8;1
Cuiabá;0;990;0;0;16;3;2;0;609;12;11;13;29;2;427;501;852;43;307;21;16;6;0
Coritiba;0;990;0;0;8;4;3;0;549;20;12;15;14;1;327;422;775;32;313;7;24;13;0
Bragantino;0;990;0;0;11;2;2;0;551;13;18;10;22;0;360;457;788;25;322;23;9;8;0
Atlético Goianiense;0;990;0;0;5;0;2;0;543;17;11;12;9;0;341;440;775;27;276;10;12;8;0
Athletico Paranaense;0;990;0;0;12;3;2;0;465;28;19;16;19;2;253;341;742;24;233;11;8;3;0
Cuiabá;0;974;0;0;6;3;1;1;383;14;11;10;8;1;167;249;671;25;149;13;11;3;0
América (MG);0;938;0;0;9;2;6;1;456;15;4;8;17;0;263;338;778;29;254;19;26;10;0
Fortaleza;0;939;0;0;10;3;2;1;436;21;12;6;16;2;236;333;709;30;209;5;17;12;0
Juventude;0;957;0;0;5;3;5;2;462;15;9;10;10;4;258;341;757;32;184;8;10;6;1
Santos;0;990;0;0;16;3;0;0;687;12;12;11;24;0;482;582;828;61;473;19;11;6;0
Coritiba;0;984;0;0;14;6;1;2;504;17;5;13;25;0;316;406;778;29;289;20;15;11;0
Goiás;0;990;0;0;3;0;3;0;454;18;10;8;4;0;268;366;732;25;203;10;12;9;0
Palmeiras;0;990;0;0;20;8;0;0;630;19;15;6;36;5;410;503;815;27;367;14;20;11;1
Fluminense;0;990;0;0;7;3;1;0;452;18;15;17;14;2;233;322;724;17;241;9;13;9;1
Avaí;0;990;1;2;7;2;6;0;621;16;11;13;15;2;412;512;805;35;343;13;15;5;0
Botafogo (RJ);0;990;0;0;18;3;3;0;685;19;6;10;30;0;450;563;799;59;385;23;23;11;0
Palmeiras;0;990;0;1;16;4;1;0;628;16;6;20;31;2;433;511;847;53;396;19;21;16;1
Athletico Paranaense;0;990;0;0;19;8;0;0;473;18;15;12;35;2;280;367;763;28;240;11;19;13;1
Flamengo;0;990;0;0;7;3;5;1;454;24;13;9;14;4;253;343;738;38;254;9;12;6;1
Avaí;0;984;0;0;5;1;2;1;480;16;18;16;9;1;260;349;745;22;284;13;22;11;0
Cuiabá;0;990;0;0;5;2;1;0;597;19;7;15;9;1;349;479;729;36;332;14;27;11;0
Corinthians;0;990;0;0;10;1;3;0;574;7;9;12;19;2;383;466;822;22;270;13;24;17;1
Fluminense;0;990;0;0;6;2;4;1;460;12;8;9;12;0;127;320;397;18;124;1;17;8;0
Fortaleza;0;990;0;0;12;5;4;0;439;15;7;10;20;2;234;325;72;27;251;11;19;10;1
Internacional;0;990;1;1;8;4;3;0;624;15;9;9;18;4;425;517;822;38;447;15;20;11;1
Goiás;0;990;0;0;11;4;2;0;461;23;11;11;21;4;224;323;693;24;179;7;28;20;1
